id,title,description,link,image_link,availability,price,brand,condition,google_product_category,product_type
1,"Omega 3, 6, 9",Omega 3-6-9 de Natural Be apoya el bienestar cardiovascular y cerebral dentro de un estilo de vida saludable.,https://naturalbe.com.co/producto/omega-3-6-9.html,https://naturalbe.com.co/static/img/omega-369.webp,in stock,25000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements > Omega Fatty Acids,omega
2,Xero FT,Xero FT de Natural Be apoya la energia y el enfoque durante el dia dentro de una rutina saludable.,https://naturalbe.com.co/producto/xero-ft.html,https://naturalbe.com.co/static/img/xero-ft.webp,in stock,35000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements,energia
3,Cloruro de Magnesio,Cloruro de Magnesio de Natural Be apoya el balance nutricional y el bienestar diario.,https://naturalbe.com.co/producto/cloruro-de-magnesio.html,https://naturalbe.com.co/static/img/magnesio-cloruro.webp,in stock,35000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements > Vitamins,vitaminas
4,Citrato de Magnesio,Citrato de Magnesio de Natural Be apoya el balance nutricional y el bienestar diario.,https://naturalbe.com.co/producto/citrato-de-magnesio.html,https://naturalbe.com.co/static/img/citrato-magnesio.webp,in stock,35000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements > Vitamins,vitaminas
5,Citrato de Potasio,Citrato de Potasio de Natural Be apoya el balance nutricional y el bienestar diario.,https://naturalbe.com.co/producto/citrato-de-potasio.html,https://naturalbe.com.co/static/img/citrato-potasio.webp,in stock,35000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements > Vitamins,vitaminas
6,Omega-3 1000 mg,Omega-3 1000 mg de Natural Be apoya el bienestar cardiovascular y cerebral.,https://naturalbe.com.co/producto/omega-3-1000mg.html,https://naturalbe.com.co/static/img/omega-3-1000mg.webp,in stock,40000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements > Omega Fatty Acids,omega
7,Colágeno y Biotina Gomas,"Gomas de Colageno y Biotina Natural Be apoyan piel, cabello, unas y articulaciones.",https://naturalbe.com.co/producto/colageno-biotina-gomas.html,https://naturalbe.com.co/static/img/funat/colageno-biotina.webp,in stock,40000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements,colageno
8,Colágeno Hidrolizado Líquido,"Colageno Hidrolizado Liquido de Natural Be apoya piel, cabello y articulaciones.",https://naturalbe.com.co/producto/colageno-hidrolizado-liquido.html,https://naturalbe.com.co/static/img/colageno-hidrolizado-1000ml.webp,in stock,40000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements,colageno
9,Resveratrol,Resveratrol de Natural Be apoya la proteccion antioxidante y el bienestar celular.,https://naturalbe.com.co/producto/resveratrol.html,https://naturalbe.com.co/static/img/natural-be/resveratrol.webp,in stock,40000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements,antioxidantes
10,Toro,Toro de Natural Be apoya la energia y el enfoque durante el dia.,https://naturalbe.com.co/producto/toro.html,https://naturalbe.com.co/static/img/toro.webp,in stock,40000.00 COP,Natural Be,new,Health & Beauty > Health Care > Vitamins & Supplements,energia
